Movie_name,Genre,reviews
Bruce Almighty,Fantasy,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take."
Bruce Almighty,Fantasy,Very nice movie awesome thanks so much for the movie
Bruce Almighty,Fantasy,makes the film an absolute viewing delight.
Bruce Almighty,Fantasy,Tips to you on your site for me as the best for a long shot in to get to you by
Bruce Almighty,Fantasy,Good historical movie about war between humanity.
Inception,Comedy,"This is a great movie. Indeed there are, but there are a couple of great things about it:"
Inception,Comedy,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement
Inception,Comedy,The position of the outpost is brilliantly choose.
Inception,Comedy,Very good story plot. One of the best flims i've ever watched.
Inception,Comedy,Nice movie and drama movie review poster premiere
Sir,Drama,This movie was actually good and I like the movie. I recommended You to watch this movie because this movie is actually very good people also like it I am sure that your very happy after watching this movie...
Sir,Drama,Sounds interesting. Shall look for this movie.
Sir,Drama,"Its actually amazing based on the fact the stereotypical prejudice and divided of society against the person with which you can actually find that one connection or understanding. Nuanced performances from actors! While Tillottama is already established and known for her performances, where was Vivek hiding all this while??.."
Sir,Drama,"It’s so thought provoking. The romance, subtle emotions, story with super acting & direction is just staying with me for days after seeing it. Will see again ..."
Sir,Drama,Nice
Chhalaang,Comedy,Good movie on sports youngsters watch it.
Chhalaang,Comedy,Good Timepass Movie on OTT
Chhalaang,Comedy,"Childish movie..... couldn't understand the purpose of this movie????... flawed acting by RK Rao and same ""stereo"" type acting by Nushrat... Nice to see Satsih Kaushik and Saurabh Shukhla......."
Chhalaang,Comedy,Very nice movie. Rajkumar Rao is as usual endearing. Good direction by Hansal Mehta.
Chhalaang,Comedy,"Nice movie, Acting of rajkumar is at best but the story writing is not that good"
Suraj pe Mangal Bhari,Family,This movie was good you should watch this movie but sometime this movie disappoint you so it's your choice
Suraj pe Mangal Bhari,Family,What kind of movie is this? Complete trash.
Suraj pe Mangal Bhari,Family,"Despite everything good, this movie misses something"
Suraj pe Mangal Bhari,Family,Best entertaining movie after this lockdown manoj sir and diljit are killer in this role
Suraj pe Mangal Bhari,Family,Don't like rubbish Bollywood.....
Ludo,Comedy,"Outstanding movie once again delivered by Anurag Basu. Full time watchable excellent story, screen play, direction, every thing. Fabulous...."
Ludo,Comedy,Worst movie. Nobody should watch. Mental torture.
Ludo,Comedy,Why this movie was even planned and made???? Can I have the refund of my $$$ after watching this movie? Highly boring and aimless movie... Koi toh roko
Ludo,Comedy,Average But Plot is weak
Ludo,Comedy,A great watch .. dark comedy .. great direction
Laxmii,Horror,"This movie was based on the life of a transgender, which was played by Akshay Kumar. The energy, time and money used to make this movie has wasted by giving such a sittish film over this time..."
Laxmii,Horror,Complete failure
Laxmii,Horror,A hopeless movie in the end which initially looked promising rather than removing superstition and fear of ghosts
Laxmii,Horror,Very sad to laxmi movie and team making fun of Hindu religion In Hindi movie they show Hindu as bad religion or followers are bad persons They need to change thinking ...
Laxmii,Horror,unwanted politics director should have restricted only to movie it can be a good one
Khaali peeli,Romance,If there was 0 star I would have given that
Khaali peeli,Romance,Waste of time and money
Khaali peeli,Romance,Time pass movie.... Can see once.
Khaali peeli,Romance,you guys are so bankrupt that you cannot even come up with title for any film.
Khaali peeli,Romance,best movie on bollywood
Sadak 2,Drama,Trash movie....Don't watch anyone
Sadak 2,Drama,The worst movie I have ever seen in my life
Sadak 2,Drama,Average
Sadak 2,Drama,story of the movie is very good all the acter and actress performed very well
Sadak 2,Drama,I like watching this movie
Khuda Haafiz,Action,Viduyt acting good btw movie is same
Khuda Haafiz,Action,super movie
Khuda Haafiz,Action,Vidyut and Anny Kapoor acting was great. Its not the best movie but better than some dumbo movies like yarra and like of tiger shroff
Khuda Haafiz,Action,"Vidyut Jammwal excels in his role of a estranged husband. This movie offers him scope to have an emotional angle and he does supremely well. He has got great screen presence. Shivaleeka was apt for her small role. The cinematography is good, and the background score as well. The first half moves at a terrific pace, the pace drops a bit in the 2nd half. Overall the film deserves your time and everyone in the film deserve appreciation...."
Khuda Haafiz,Action,"don't listen to critics, it is really a good movie."
Gunjan Saxena: The Kargil Girl,Biopic,Direction and screenplay is good
Gunjan Saxena: The Kargil Girl,Biopic,Outstanding show from jahnvi as gunjan in movie
Gunjan Saxena: The Kargil Girl,Biopic,"Life stories of Succesful people are always inspiring but when it comes to movie there is a lot more than that. Facts are incorrect if you go through articles and the information available online. Apart from that there was something missing.Can't put a finger on it whether it was the acting of the protagonist or the script and dialogues. The fire, the inspiration you get was not up to the mark...."
Gunjan Saxena: The Kargil Girl,Biopic,I rated one star how come it is showing 4 stars. This is a trash movie.
Gunjan Saxena: The Kargil Girl,Biopic,Worst acting by Jhanvi Kapoor....
Lootcase,Comedy,"I loved this movie to watch. In this movie, I loved Rasika Dugal romance. And so this movie has some action sequences."
Lootcase,Comedy,"In an era where comedy shows and open mic stands take over the entire comedy genre, this film takes a spot for itself. Definitely a sleeper hit! Comic timings are worth mentioning...."
Lootcase,Comedy,Very comedy movie
Lootcase,Comedy,Fun watching it
Lootcase,Comedy,loved the movie. very realistic portrayal of a common man. AMazing concept. Vijay Raaz was very funny.
Raat Akeli hai,Crime,"Nawajuddin, Radhika is really good actor and the suspense of the story and its editing is superb- making it a must watch."
Raat Akeli hai,Crime,"excellent movie , outstanding performances"
Raat Akeli hai,Crime,Good movie Good work by Nawaz and Radhika
Raat Akeli hai,Crime,This movie is totally worst but because of the actor this is having this much rating.
Raat Akeli hai,Crime,"Armed with a slow burn gradual buildup, nowhere does the film digresses from the topic at hand. However, the climax feels relatively sudden and convenient. Characters involved don’t have enough substance for you to feel invested in them or their hidden motives. A better character sketch, tightly woven screenplay would have made this film far more engaging. Your desire to know the truth forms the crux of crime mysteries.Here, you want to nab the culprit but the chain of events that comprise the investigation don’t keep you on the edge of your seat."
Raat Akeli hai,Crime,Nice movie with good message....
Shakuntala Devi,Biopic,New song love status SHOLO Music savra Lal keer
Shakuntala Devi,Biopic,Movie is good...but has got too much family drama.
Shakuntala Devi,Biopic,"This movie very beautifully answers this dilemma with the climax ! Also the Comic timing , the humor , the jolly light moments leave us with more cravings for her!"
Shakuntala Devi,Biopic,"Only saving grace of this movie is Vidya Balan's performance & also Jishu Sengupta as the Husband. Otherwise, very slow movie."
